Area Name,Total - Persons,Total - Males,Total - Females,Illiterate - Persons,Illiterate - Males,Illiterate - Females,Literate - Persons,Literate - Males,Literate - Females,Literate w/o education level - Persons,Literate w/o education level - Males,Literate w/o education level - Females,Bellow primary - Persons,Bellow primary - Males,Bellow primary - Females,Primary - Persons,Primary - Males,Primary - Females,Middle - Persons,Middle - Males,Middle - Females,Matric/Secondary - Persons,Matric/Secondary - Males,Matric/Secondary - Females,Higher second/Interm/Pre-University/Senior second - Persons,Higher second/Interm/Pre-University/Senior second - Males,Higher second/Interm/Pre-University/Senior second - Females,Non-technical diploma - Persons,Non-technical diploma - Males,Non-technical diploma - Females,Technical diploma - Persons,Technical diploma - Males,Technical diploma - Females,Graduate_Persons,Graduate_Males,Graduate_Females,Unclassified_Persons,Unclassified_Males,Unclassified_Females,age_group
Rajasthan,1516951,839003,677948,415010,111087,303923,1101941,727916,374025,59115,24565,34550,151126,83781,67345,277923,179851,98072,258042,189521,68521,194787,144431,50356,159963,105091,54872,174,105,69,811,571,240,0,0,0,0,0,0,adolescencia
Rajasthan,637226,339181,298045,165045,39335,125710,472181,299846,172335,24460,9290,15170,61468,31721,29747,101314,61485,39829,99654,70522,29132,76805,55816,20989,107628,70405,37223,111,64,47,741,543,198,0,0,0,0,0,0,adolescencia
Rajasthan,4749366,2470943,2278423,1522617,361122,1161495,3226749,2109821,1116928,234174,94115,140059,431305,225259,206046,726427,454897,271530,680436,504650,175786,457969,341223,116746,398304,291357,106947,1152,770,382,6080,4470,1610,290896,193075,97821,6,5,1,juventud
Rajasthan,4197223,2127889,2069334,1594683,403540,1191143,2602540,1724349,878191,243620,103889,139731,382879,202998,179881,581067,372645,208422,537959,410603,127356,375125,285105,90020,169040,131201,37839,1029,775,254,4610,3571,1039,307206,213559,93647,5,3,2,juventud
Rajasthan,3821151,1917187,1903964,1670789,466716,1204073,2150362,1450471,699891,234256,106363,127893,350858,196674,154184,472452,308613,163839,415289,320469,94820,323989,252803,71186,108903,87236,21667,853,662,191,4173,3450,723,239586,174199,65387,3,2,1,adulto
Rajasthan,3453860,1788941,1664919,1661668,527329,1134339,1792192,1261612,530580,193999,102395,91604,310180,195484,114696,417223,286639,130584,325177,251483,73694,270344,213998,56346,74451,60028,14423,726,562,164,3643,3080,563,196443,147937,48506,6,6,0,adulto
Rajasthan,2760275,1476036,1284239,1432671,498644,934027,1327604,977392,350212,131605,78866,52739,228636,156998,71638,328697,235733,92964,233718,182830,50888,201632,162212,39420,49351,40007,9344,712,599,113,2940,2538,402,150309,117606,32703,4,3,1,adulto
Rajasthan,2269651,1183740,1085911,1264072,427849,836223,1005579,755891,249688,95305,60561,34744,176550,125139,51411,258023,186809,71214,168968,132258,36710,159439,131453,27986,36885,30756,6129,581,495,86,2491,2102,389,107336,86317,21019,1,1,0,adulto
Rajasthan,1775046,974037,801009,1070498,421123,649375,704548,552914,151634,70363,48957,21406,135675,102616,33059,181583,137703,43880,103726,82568,21158,115037,98521,16516,25067,21695,3372,564,495,69,2510,2184,326,70019,58171,11848,4,4,0,adulto_mayor
Rajasthan,1349315,646505,702810,898367,302055,596312,450948,344450,106498,48894,32579,16315,99678,72961,26717,117266,85722,31544,58491,44496,13995,70197,60063,10134,14477,12749,1728,418,348,70,1988,1782,206,39537,33748,5789,2,2,0,adulto_mayor
